store_name,street_address,city,state,zipcode,latitude,longitude
McDonald's,125 Laurel Street,Waukee,IA,50263,41.614430,-93.867630
McDonald's,1320 Jordan Creek Pkwy,West Des Moines,IA,50266,41.589470,-93.809720
McDonald's,745 S 51st Street,West Des Moines,IA,50265,41.558440,-93.773720
McDonald's,11400 Forest Ave,Clive,IA,50325,41.600960,-93.771720
McDonald's,1530 22nd Street,West Des Moines,IA,50266,41.595340,-93.736650
McDonald's,3441 86th Street,Urbandale,IA,50322,41.625360,-93.735940
McDonald's,6125 Grand Ave,Des Moines,IA,50312,41.583210,-93.700880
McDonald's,3610 Merle Hay Road,Des Moines,IA,50310,41.628181,-93.698311
McDonald's,4825 Merle Hay Road,Des Moines,IA,50322,41.648100,-93.696650
McDonald's,3002 Forest Ave,Des Moines,IA,50311,41.603630,-93.658810
McDonald's,2901 Sunset Drive,Norwalk,IA,50211,41.496260,-93.675150
McDonald's,4201 Fleur Drive,Des Moines,IA,50321,41.546100,-93.644700
McDonald's,601 University Ave,Des Moines,IA,50314,41.601250,-93.626650
McDonald's,710 Army Post Road,Des Moines,IA,50315,41.525700,-93.623980
McDonald's,3000 SE 14th Street,Des Moines,IA,50320,41.557730,-93.597560
McDonald's,1401 Des Moines Street,Des Moines,IA,50316,41.594680,-93.597010
McDonald's,2540 E University Ave,Des Moines,IA,50317,41.600810,-93.569010
McDonald's,3275 E Euclid Ave East,Des Moines,IA,50317,41.627340,-93.552190
McDonald's,1055 Sherrylynn Blvd,Pleasant Hill,IA,50317,41.598470,-93.506190
McDonald's,3215 Adventureland Drive,Altoona,IA,50009,41.658980,-93.496740
